PRO_COM;SEZ;SEZ2011;count;fid;max;min;value
15146;3916;151460003916;606;3411;6.87512540817261;0;0.92174769234736
15146;4075;151460004075;2032;3412;42.6609001159668;0;1.42419013075941
15146;4079;151460004079;501;3413;21.8981056213379;0;1.20002694805701
15146;4089;151460004089;733;3414;47.8453559875488;0;8.20329419977831
15146;4092;151460004092;845;3415;26.9596786499023;0;1.93430536936021
15146;4130;151460004130;992;3416;30.1376342773438;0;4.09255686113911
15146;4067;151460004067;1086;3417;17.6626892089844;0;1.58429708182263
15146;4068;151460004068;2160;3418;82.5701751708984;0;13.7729320384838
15146;4070;151460004070;571;3419;30.6031856536865;0;1.249676331956
15146;4098;151460004098;982;3420;47.8453559875488;0;6.03728141706976
15146;4103;151460004103;1117;3421;53.6573143005371;0;11.2622485591987
15146;4110;151460004110;407;3422;31.9445915222168;0;5.24859094268274
15146;4123;151460004123;206;3423;49.3468627929688;0;9.95980094243022
15146;4074;151460004074;830;3424;53.9424514770508;0;1.82368016989834
15146;4081;151460004081;788;3425;25.6440715789795;0;2.33910946918623
15146;4083;151460004083;962;3426;20.7289237976074;0;2.2710483733433
15146;4096;151460004096;811;3427;26.1350994110107;0;2.28818317229886
15146;4170;151460004170;1436;3428;21.2032699584961;0;2.86822662778552
15146;4169;151460004169;1309;3429;26.3065128326416;0;0.819822167148109
15146;4078;151460004078;827;3430;42.4076995849609;0;3.44505891257935
15146;4086;151460004086;326;3431;13.687029838562;0;2.55181978377828
15146;4091;151460004091;772;3432;35.460693359375;0;4.20289350914832
15146;4093;151460004093;401;3433;19.2038497924805;0;1.52544024460334
15146;4131;151460004131;1091;3434;18.3797245025635;0;1.90340400506989
15146;4071;151460004071;621;3435;46.4615478515625;0;4.77131414490237
15146;4073;151460004073;606;3436;17.6416091918945;0;0.946296213483653
15146;4100;151460004100;1022;3437;36.5508460998535;0;6.32982490673924
15146;4102;151460004102;1043;3438;64.8980407714844;0;10.0983697117689
15146;4108;151460004108;1017;3439;34.1449661254883;0;2.89835179871866
15146;4121;151460004121;1155;3440;27.6305885314941;0;2.99764589251894
15146;4122;151460004122;1430;3441;59.2523574829102;0;12.9039608828671
15146;4072;151460004072;352;3442;5.91902542114258;0;0.25778848474676
15146;4080;151460004080;321;3443;14.4860715866089;0;1.01064188829464
15146;4090;151460004090;807;3444;22.522066116333;0;1.73366783926774
15146;4101;151460004101;797;3445;52.2568473815918;0;6.88046605434442
15146;4104;151460004104;650;3446;34.1999015808105;0;4.29126953125
15146;4171;151460004171;1627;3447;40.1180267333984;0;5.59815683581746
15146;4069;151460004069;998;3448;49.8348350524902;0;4.29160518302229
15146;4087;151460004087;1564;3449;43.4880523681641;0;6.66459761129316
15146;4094;151460004094;712;3450;19.2038497924805;0;1.68547315276071
15146;4097;151460004097;768;3451;30.8042373657227;0;3.11529223124186
15146;4105;151460004105;782;3452;41.2666778564453;0;12.2562789721867
15146;4106;151460004106;634;3453;32.0221939086914;0;2.42485705835962
15146;4109;151460004109;695;3454;27.4780330657959;0;3.87040207677608
15146;4129;151460004129;565;3455;24.5961685180664;0;3.41055659741427
15146;4168;151460004168;1197;3456;26.3065128326416;0;2.10719813041719
15146;3952;151460003952;644;3457;6.34674787521362;0;0.676674505198224
15146;3953;151460003953;678;3458;25.3787631988525;0;5.76007494180955
15146;4124;151460004124;1051;3459;51.3862762451172;0;3.75126088992626
15146;4125;151460004125;583;3460;17.986307144165;0;1.27144836111707
15146;4126;151460004126;537;3461;15.0318460464478;0;1.24298959515392
15146;4135;151460004135;766;3462;9.47692012786865;0;2.0402487812092
15146;4138;151460004138;493;3463;37.7961578369141;0;1.58253154019555
15146;4144;151460004144;1007;3464;18.11887550354;0;1.51213429819389
15146;4150;151460004150;1518;3465;46.3596153259277;0;7.4827564023386
15146;4151;151460004151;1576;3466;67.1147079467773;0;14.4027824595495
15146;3901;151460003901;624;3467;37.1959915161133;0;4.62375934307392
15146;3946;151460003946;574;3468;16.2649040222168;0;2.60880292832644
15146;3950;151460003950;791;3469;6.43733358383179;0;0.660425236794801
15146;4111;151460004111;1693;3470;47.4873542785645;0;1.71230918672475
15146;4119;151460004119;391;3471;40.0988159179688;0;6.39075112891624
15146;4134;151460004134;664;3472;22.4420890808105;0;1.33003290015531
15146;4143;151460004143;1262;3473;18.11887550354;0;1.01168354113015
15146;4160;151460004160;843;3474;64.6082305908203;0;6.53245129930308
15146;4165;151460004165;928;3475;44.9677696228027;0;2.49080894733297
15146;3905;151460003905;1259;3476;46.3596153259277;0;8.23884205594718
15146;3948;151460003948;595;3477;11.672721862793;0;2.01050256039916
15146;4132;151460004132;683;3478;56.0419120788574;0;5.12989568081991
15146;4162;151460004162;1142;3479;33.4557151794434;0;3.68468062472636
