cod_estacion,nombre,tipo,latitud,longitud,activa,fecha,indice,debido_a
48044006,ALGORTA,FONDO,43.3621,-3.0228,true,2025-09-30T07:00:00,1,NO2
48059001,URKIOLA,FONDO,43.10049,-2.65088,true,2025-09-30T07:00:00,2,O3
48068001,MUNDAKA,FONDO,43.40592,-2.70318,true,2025-09-30T07:00:00,2,O3
48071002,MUSKIZ,INDUSTRIAL,43.32074,-3.11272,true,2025-09-30T07:00:00,1,O3
48071004,SAN JULIAN,INDUSTRIAL,43.33275,-3.11298,true,2025-09-30T07:00:00,1,O3
48082003,SERANTES,FONDO,43.33446,-3.06297,true,2025-09-30T07:00:00,2,O3
48082004,SANTURCE,FONDO,43.33306,-3.04256,true,2025-09-30T07:00:00,1,NO2
48084008,SESTAO,TRAFICO,43.30776,-2.99596,true,2025-09-30T07:00:00,1,NO2
48096001,ZALLA,FONDO,43.21291,-3.1344,true,2025-09-30T07:00:00,1,PM2.5
48902006,ERANDIO,TRAFICO,43.30268,-2.97724,true,2025-09-30T07:00:00,2,PM10
48904002,SANGRONIZ,TRAFICO,43.29846,-2.93038,true,2025-09-30T07:00:00,1,PM2.5
48913001,ZIERBANA,FONDO,43.35307,-3.08099,true,2025-09-30T07:00:00,2,NO2
49149999,PEÑAUSENDE,FONDO,41.23889,-5.89742,true,2025-09-30T07:00:00,1,O3
49275002,ZAMORA 2,TRAFICO,41.50972,-5.74639,true,2025-09-30T07:00:00,2,O3
50008001,ALAGÓN,TRAFICO,41.7628,-1.1433,true,2025-09-30T07:00:00,10,O3
50059001,BUJARALOZ,FONDO,41.5056,-0.1519,true,2025-09-30T07:00:00,1,O3
50067001,CALATAYUD,FONDO,41.35457,-1.65257,true,2025-09-30T07:00:00,20,O3
50101001,ESCATRÓN,INDUSTRIAL,41.28693,-0.32689,false,2025-09-30T07:00:00,0,
50297026,EL PICARRAL,TRAFICO,41.67028,-0.87111,true,2025-09-30T07:00:00,2,PM2.5
50297029,ROGER DE FLOR,TRAFICO,41.6514,-0.9161,true,2025-09-30T07:00:00,10,O3
50297032,JAIME FERRÁN,INDUSTRIAL,41.67417,-0.86417,true,2025-09-30T07:00:00,1,PM10
50297036,RENOVALES,FONDO,41.63528,-0.89361,true,2025-09-30T07:00:00,2,O3
50297037,LAS FUENTES,TRAFICO,41.64222,-0.86194,true,2025-09-30T07:00:00,1,O3
50297038,CENTRO,TRAFICO,41.64833,-0.88389,true,2025-09-30T07:00:00,1,O3
50297039,AVENIDA SORIA,TRAFICO,41.65917,-0.9068,true,2025-09-30T07:00:00,20,PM10
50297040,ACTUR,FONDO,41.6752,-0.8869,true,2025-09-30T07:00:00,1,NO2
51001001,PUERTO ESPAÑA,FONDO,35.893,-5.3147,true,2025-09-30T07:00:00,2,NO2
52001001,SSOO,TRAFICO,35.27306,-2.94083,true,2025-09-30T07:00:00,2,PM2.5
52001002,ETAP,FONDO,35.3097,-2.9569,true,2025-09-30T07:00:00,2,O3
99999989,UNIDAD MOVIL EL PASO,FONDO,28.65278,-17.88056,true,2025-09-30T07:00:00,1,SO2
